"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2014-05-27T13:30:00.000Z","BUY",8,"NVDA (NVIDIA Corp)","STOCK",148.8,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2014-05-28T13:30:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",210,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2014-05-29T13:30:00.000Z","BUY",2,"META (Meta Platforms Inc)","STOCK",127.72,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2014-05-29T13:30:00.000Z","BUY",4,"TWTR (Twitter Inc)","STOCK",138.8,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2014-06-05T13:30:00.000Z","BUY",7,"QQQX (Nuveen NASDAQ 100 Dynamic Overwrite Fund)","FUND",133.84,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2014-09-15T13:30:00.000Z","SELL",8,"NVDA (NVIDIA Corp)","STOCK",153.44,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2014-09-22T13:30:00.000Z","BUY",3,"BABA (Alibaba Group Holding Ltd)","STOCK",278.85,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
"2014-10-29T15:28:00.000Z","SELL",7,"QQQX (Nuveen NASDAQ 100 Dynamic Overwrite Fund)","FUND",138.39,"USD","Nasdaq",,,7.97,"USD","Fio",,false,
"2014-10-29T15:30:00.000Z","SELL",4,"TWTR (Twitter Inc)","STOCK",171.4,"USD","New York Stock Exchange",,,7.97,"USD","Fio",,false,
"2014-10-29T15:37:00.000Z","BUY",3,"AAPL (Apple Inc)","STOCK",321.42,"USD","Nasdaq",,,7.95,"USD","Fio",,false,
"2014-12-05T15:39:00.000Z","BUY",3,"TWTR (Twitter Inc)","STOCK",116.94,"USD","New York Stock Exchange",,,7.95,"USD","Fio",,false,
