"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2019-10-17T14:48:00.000Z","BUY",0.41546549,"BYND (Beyond Meat Inc)","STOCK",49.0290824749,"USD","Nasdaq",,,1.21,"USD","Revolut",,false,
"2020-02-03T15:19:00.000Z","BUY",0.09221114,"TSLA (Tesla Inc)","STOCK",65.7751282734,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-02-04T14:52:00.000Z","SELL",0.01070572,"TSLA (Tesla Inc)","STOCK",9.96702532,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-02-05T18:42:00.000Z","BUY",0.01394622,"TSLA (Tesla Inc)","STOCK",10.002926295,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-03-03T19:37:00.000Z","BUY",0.35829451,"INTC (Intel Corp)","STOCK",20.0501607796,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-03-04T18:51:00.000Z","BUY",0.01610847,"TSLA (Tesla Inc)","STOCK",11.9648882619,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-03-06T14:37:00.000Z","BUY",0.02851887,"TSLA (Tesla Inc)","STOCK",19.99172787,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-03-06T19:23:00.000Z","BUY",0.00827514,"TSLA (Tesla Inc)","STOCK",5.707364058,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-03-10T13:46:00.000Z","BUY",0.03092193,"TSLA (Tesla Inc)","STOCK",20.0330815698,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-03-10T15:07:00.000Z","BUY",0.0317778,"TSLA (Tesla Inc)","STOCK",20.014293996,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-03-12T13:58:00.000Z","BUY",0.03636363,"TSLA (Tesla Inc)","STOCK",20.9814508737,"USD","Nasdaq",,,1.19,"USD","Revolut",,false,
"2020-03-12T15:44:00.000Z","BUY",0.01427781,"TSLA (Tesla Inc)","STOCK",7.9023395007,"USD","Nasdaq",,,1.18,"USD","Revolut",,false,
"2020-03-13T19:14:00.000Z","BUY",0.03781004,"TSLA (Tesla Inc)","STOCK",19.6854192256,"USD","Nasdaq",,,1.17,"USD","Revolut",,false,
"2020-03-16T15:25:00.000Z","BUY",0.04117937,"TSLA (Tesla Inc)","STOCK",19.9851718484,"USD","Nasdaq",,,1.15,"USD","Revolut",,false,
"2020-03-17T14:05:00.000Z","BUY",0.02623632,"TSLA (Tesla Inc)","STOCK",10.6254472368,"USD","Nasdaq",,,1.14,"USD","Revolut",,false,
"2020-03-18T14:11:00.000Z","BUY",0.04921642,"TSLA (Tesla Inc)","STOCK",19.53891874,"USD","Nasdaq",,,1.12,"USD","Revolut",,false,
"2020-03-18T17:43:00.000Z","BUY",0.05546619,"TSLA (Tesla Inc)","STOCK",20.0721048372,"USD","Nasdaq",,,1.09,"USD","Revolut",,false,
"2020-03-20T13:53:00.000Z","BUY",1.21447656,"AMAT (Applied Materials Inc)","STOCK",49.9999999752,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-03-20T13:57:00.000Z","BUY",0.13769363,"BYND (Beyond Meat Inc)","STOCK",8.12392417,"USD","Nasdaq",,,1.09,"USD","Revolut",,false,
"2020-04-01T19:13:00.000Z","BUY",0.53128336,"XYZ (Block Inc)","STOCK",24.8799997488,"USD","New York Stock Exchange",,,,,"Revolut",,false,
"2020-04-02T18:29:00.000Z","BUY",0.43400397,"XYZ (Block Inc)","STOCK",19.6299995631,"USD","New York Stock Exchange",,,,,"Revolut",,false,
"2020-04-03T14:55:00.000Z","BUY",0.26907073,"XYZ (Block Inc)","STOCK",11.6453811944,"USD","New York Stock Exchange",,,,,"Revolut",,false,
"2020-04-07T13:54:00.000Z","SELL",0.09450009,"XYZ (Block Inc)","STOCK",5.055754815,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2020-04-07T14:09:00.000Z","SELL",0.10412328,"AMAT (Applied Materials Inc)","STOCK",4.9999999056,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-04-08T15:17:00.000Z","SELL",0.08914244,"XYZ (Block Inc)","STOCK",4.9991080352,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2020-04-09T14:09:00.000Z","SELL",0.07893905,"XYZ (Block Inc)","STOCK",4.8381743745,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2020-04-09T14:09:00.000Z","SELL",0.07890168,"XYZ (Block Inc)","STOCK",4.8492972528,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2020-04-09T15:36:00.000Z","BUY",0.3047619,"DIS (Walt Disney Co/The)","STOCK",31.966475691,"USD","New York Stock Exchange",,,1.13,"USD","Revolut",,false,
"2020-04-14T13:35:00.000Z","SELL",0.02111754,"TSLA (Tesla Inc)","STOCK",15.0616630542,"USD","Nasdaq",,,1.15,"USD","Revolut",,false,
"2020-04-27T13:46:00.000Z","SELL",0.02227229,"TSLA (Tesla Inc)","STOCK",17.0220430783,"USD","Nasdaq",,,1.12,"USD","Revolut",,false,
"2020-04-27T13:47:00.000Z","SELL",0.02226209,"TSLA (Tesla Inc)","STOCK",17.05276094,"USD","Nasdaq",,,1.12,"USD","Revolut",,false,
"2020-05-01T17:51:00.000Z","BUY",0.04273504,"TSLA (Tesla Inc)","STOCK",30.1658100352,"USD","Nasdaq",,,,,"Revolut",,false,
"2020-05-06T17:50:00.000Z","SELL",0.04018646,"BYND (Beyond Meat Inc)","STOCK",5.0060273222,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
"2020-05-07T15:22:00.000Z","SELL",0.06572893,"XYZ (Block Inc)","STOCK",4.9461019825,"USD","New York Stock Exchange",,,0.01,"USD","Revolut",,false,
"2020-05-08T17:07:00.000Z","SELL",0.03708648,"BYND (Beyond Meat Inc)","STOCK",4.9885024248,"USD","Nasdaq",,,0.01,"USD","Revolut",,false,
