"Date","Way","Base amount","Base currency (name)","Base type","Quote amount","Quote currency","Exchange","Sent/Received from","Sent to","Fee amount","Fee currency (name)","Broker","Notes","Sync Base Holding","Leverage Metadata"
"2022-07-22T13:58:00.000Z","BUY",3,"GOOGL (Alphabet Inc)","STOCK",334.77,"USD","Nasdaq",,,,,"XTB",,false,
"2022-08-15T13:49:00.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",142.65,"USD","Nasdaq",,,,,"XTB",,false,
"2022-08-17T14:37:00.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",141.21,"USD","Nasdaq",,,,,"XTB",,false,
"2022-10-06T19:04:00.000Z","BUY",9,"INTC (Intel Corp)","STOCK",244.71,"USD","Nasdaq",,,,,"XTB",,false,
"2022-10-24T13:49:00.000Z","BUY",1,"ASML (ASML Holding NV)","STOCK",470.68,"USD","Nasdaq",,,,,"XTB",,false,
"2022-10-26T17:50:00.000Z","BUY",1,"GOOGL (Alphabet Inc)","STOCK",96.35,"USD","Nasdaq",,,,,"XTB",,false,
"2022-10-28T18:17:00.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",101.99,"USD","Nasdaq",,,,,"XTB",,false,
"2022-11-02T16:50:00.000Z","BUY",2,"AMZN (Amazon.com Inc)","STOCK",188.56,"USD","Nasdaq",,,,,"XTB",,false,
"2022-11-02T17:56:00.000Z","BUY",1,"GOOGL (Alphabet Inc)","STOCK",89.69,"USD","Nasdaq",,,,,"XTB",,false,
"2022-11-03T18:04:00.000Z","BUY",1,"GOOGL (Alphabet Inc)","STOCK",84.42,"USD","Nasdaq",,,,,"XTB",,false,
"2022-11-04T14:04:00.000Z","BUY",1,"MSFT (Microsoft Corp)","STOCK",216.6,"USD","Nasdaq",,,,,"XTB",,false,
"2022-11-07T15:45:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",199.99,"USD","Nasdaq",,,,,"XTB",,false,
"2022-11-10T15:05:00.000Z","BUY",2,"DIS (Walt Disney Co/The)","STOCK",177.02,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2022-11-21T16:04:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",170.79,"USD","Nasdaq",,,,,"XTB",,false,
"2022-12-16T19:59:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",151.3,"USD","Nasdaq",,,,,"XTB",,false,
"2022-12-27T17:00:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",112.64,"USD","Nasdaq",,,,,"XTB",,false,
"2023-01-04T15:04:00.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",84.37,"USD","Nasdaq",,,,,"XTB",,false,
"2023-01-17T16:33:00.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",96.31,"USD","Nasdaq",,,,,"XTB",,false,
"2023-01-17T16:35:00.000Z","BUY",1,"GOOGL (Alphabet Inc)","STOCK",90.88,"USD","Nasdaq",,,,,"XTB",,false,
"2023-01-17T16:37:00.000Z","BUY",2,"TSM (Taiwan Semiconductor Manufacturing Co Ltd)","STOCK",177.12,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2023-02-13T15:14:00.000Z","BUY",1,"GOOGL (Alphabet Inc)","STOCK",94.27,"USD","Nasdaq",,,,,"XTB",,false,
"2023-02-13T15:37:00.000Z","BUY",1,"AMZN (Amazon.com Inc)","STOCK",98.12,"USD","Nasdaq",,,,,"XTB",,false,
"2023-03-09T19:12:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",175.91,"USD","Nasdaq",,,,,"XTB",,false,
"2023-03-24T15:56:00.000Z","BUY",2,"AMZN (Amazon.com Inc)","STOCK",195.02,"USD","Nasdaq",,,,,"XTB",,false,
"2023-04-20T19:20:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",160.57,"USD","Nasdaq",,,,,"XTB",,false,
"2023-04-26T19:56:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",154.02,"USD","Nasdaq",,,,,"XTB",,false,
"2023-07-19T17:20:00.000Z","BUY",0.4166,"ASML (ASML Holding NV)","STOCK",299.939502,"USD","Nasdaq",,,,,"XTB",,false,
"2023-08-15T17:35:00.000Z","BUY",0.1755,"ASML (ASML Holding NV)","STOCK",114.968295,"USD","Nasdaq",,,,,"XTB",,false,
"2023-11-14T15:43:00.000Z","BUY",0.2241,"DIS (Walt Disney Co/The)","STOCK",20.375172,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2023-11-14T15:46:00.000Z","BUY",1,"DIS (Walt Disney Co/The)","STOCK",91.09,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2023-11-15T18:46:00.000Z","BUY",1,"DIS (Walt Disney Co/The)","STOCK",94.19,"USD","New York Stock Exchange",,,,,"XTB",,false,
"2024-01-08T16:41:00.000Z","BUY",10,"PLTR (Palantir Technologies Inc)","STOCK",167.2,"USD","Nasdaq",,,,,"XTB",,false,
"2024-01-25T18:47:00.000Z","BUY",1,"TSLA (Tesla Inc)","STOCK",182.02,"USD","Nasdaq",,,,,"XTB",,false,
"2024-02-12T19:50:00.000Z","BUY",1,"ARM (ARM Holdings PLC)","STOCK",143.21,"USD","Nasdaq",,,,,"XTB",,false,
"2024-02-13T19:00:00.000Z","BUY",1,"ARM (ARM Holdings PLC)","STOCK",123.97,"USD","Nasdaq",,,,,"XTB",,false,
